                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.74337,                0.59267,                 1.3246,                0.94229,                0.92179,                0.98426,                0.84881,                0.56056,                0.45517,                 1.1244,             0.00062262,             0.00062262,             0.00062262
                     59,                 0.7348,                0.58515,                  1.328,                0.94118,                0.91469,                0.97552,                 0.8543,                0.52511,                0.46525,                  1.106,             0.00060847,             0.00060847,             0.00060847
                     60,                0.73375,                0.59426,                  1.322,                0.93713,                0.93559,                0.97655,                0.84326,                0.54475,                0.44786,                 1.1021,             0.00059432,             0.00059432,             0.00059432
                     61,                0.73141,                0.59627,                  1.325,                0.96523,                0.94325,                0.98674,                0.85892,                0.58932,                0.42229,                 1.1448,             0.00058017,             0.00058017,             0.00058017
                     62,                0.70134,                0.56261,                 1.2828,                0.92741,                0.94475,                0.98132,                0.86803,                0.52261,                0.44842,                 1.0912,             0.00056603,             0.00056603,             0.00056603
                     63,                0.72617,                0.55241,                 1.2989,                0.94769,                0.93977,                0.98319,                 0.8579,                0.52579,                0.42037,                 1.0873,             0.00055188,             0.00055188,             0.00055188
                     64,                0.70526,                0.53825,                  1.276,                0.94576,                 0.9302,                 0.9855,                 0.8672,                 0.5206,                0.42716,                 1.0898,             0.00053773,             0.00053773,             0.00053773
                     65,                0.71351,                0.58158,                 1.3107,                0.95824,                0.89902,                0.98152,                0.87021,                0.50482,                0.42961,                 1.0908,             0.00052359,             0.00052359,             0.00052359
                     66,                0.71477,                0.56596,                 1.2824,                0.94026,                0.93512,                0.98524,                 0.8691,                0.51147,                0.42031,                 1.0866,             0.00050944,             0.00050944,             0.00050944
                     67,                0.69788,                0.55774,                 1.2869,                 0.9352,                0.93154,                0.97707,                0.85683,                0.52373,                0.42706,                 1.0948,             0.00049529,             0.00049529,             0.00049529
                     68,                0.66807,                0.52357,                 1.2711,                0.96084,                0.93087,                0.98934,                 0.8761,                0.52489,                0.40442,                 1.0998,             0.00048114,             0.00048114,             0.00048114
                     69,                0.70557,                0.53618,                 1.2861,                0.93794,                0.93492,                0.97936,                0.85244,                0.56171,                0.41629,                 1.1153,               0.000467,               0.000467,               0.000467
                     70,                0.69304,                0.53398,                 1.2756,                0.92601,                0.94265,                 0.9851,                0.87098,                0.51306,                0.40199,                 1.0819,             0.00045285,             0.00045285,             0.00045285
                     71,                0.66594,                0.51518,                 1.2722,                0.95691,                0.93025,                0.98285,                0.87033,                0.51295,                0.39135,                 1.0863,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67099,                0.53906,                 1.2606,                 0.9322,                0.95252,                0.98336,                0.87489,                0.48425,                  0.392,                 1.0567,             0.00042456,             0.00042456,             0.00042456
                     73,                0.68904,                0.52329,                 1.2842,                0.93973,                0.95935,                0.98366,                0.88197,                0.51018,                0.39169,                 1.0758,             0.00041041,             0.00041041,             0.00041041
                     74,                0.66612,                0.52624,                 1.2593,                0.90708,                0.98229,                0.98874,                0.88103,                0.46764,                0.41631,                 1.0408,             0.00039626,             0.00039626,             0.00039626
                     75,                0.66077,                 0.5261,                 1.2637,                0.91766,                0.98052,                  0.986,                0.88249,                0.48142,                0.39037,                 1.0576,             0.00038211,             0.00038211,             0.00038211
                     76,                0.65741,                0.52275,                  1.255,                0.97413,                 0.9253,                 0.9851,                0.87792,                0.50073,                0.39799,                 1.0704,             0.00036797,             0.00036797,             0.00036797
                     77,                0.66176,                0.51137,                 1.2499,                0.91394,                0.95328,                0.97801,                0.86586,                0.52078,                0.40782,                 1.0808,             0.00035382,             0.00035382,             0.00035382
                     78,                0.63954,                0.52845,                 1.2369,                0.94073,                0.93418,                0.98611,                0.88081,                0.49003,                0.38296,                 1.0718,             0.00033967,             0.00033967,             0.00033967
                     79,                0.67173,                0.53278,                 1.2506,                0.92977,                0.91984,                0.98229,                0.88533,                0.47873,                0.43202,                 1.0537,             0.00032553,             0.00032553,             0.00032553
                     80,                 0.6682,                0.51116,                  1.264,                0.95811,                0.92941,                0.98533,                0.89278,                0.47161,                0.36197,                 1.0499,             0.00031138,             0.00031138,             0.00031138
                     81,                0.63834,                 0.4981,                 1.2369,                0.95623,                0.93065,                0.98492,                0.88759,                0.47394,                0.37431,                 1.0525,             0.00029723,             0.00029723,             0.00029723
                     82,                0.62251,                0.48798,                 1.2296,                 0.9683,                0.93248,                 0.9842,                0.88537,                0.46852,                0.37079,                 1.0458,             0.00028308,             0.00028308,             0.00028308
                     83,                0.64754,                0.50633,                 1.2405,                0.95053,                0.93262,                0.98467,                0.87353,                0.48376,                  0.379,                 1.0538,             0.00026894,             0.00026894,             0.00026894
                     84,                0.64025,                0.49409,                 1.2281,                0.96328,                0.91574,                0.98041,                0.86584,                0.50885,                0.39223,                 1.0662,             0.00025479,             0.00025479,             0.00025479
                     85,                0.63115,                0.49178,                  1.218,                 0.9306,                0.95703,                0.98471,                0.88659,                0.48004,                0.37186,                  1.053,             0.00024064,             0.00024064,             0.00024064
                     86,                0.62165,                  0.487,                 1.2285,                0.96112,                0.92896,                 0.9811,                0.88033,                0.48383,                 0.3928,                 1.0525,              0.0002265,              0.0002265,              0.0002265
                     87,                0.63437,                0.49432,                 1.2344,                0.97134,                 0.9193,                0.98634,                0.88599,                0.46807,                0.36274,                 1.0413,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.6482,                0.50356,                 1.2295,                0.93135,                0.94108,                0.98287,                 0.8797,                0.48033,                0.39119,                 1.0465,              0.0001982,              0.0001982,              0.0001982
                     89,                0.61096,                0.48562,                 1.2162,                0.94574,                0.94066,                0.98511,                0.88863,                0.46777,                 0.3655,                 1.0383,             0.00018406,             0.00018406,             0.00018406
                     90,                0.61224,                 0.4826,                 1.2204,                0.93782,                0.95591,                0.98582,                 0.8873,                0.47106,                0.36487,                  1.043,             0.00016991,             0.00016991,             0.00016991
                     91,                0.45385,                0.43259,                 1.0697,                0.94088,                0.93321,                0.98022,                0.87642,                0.45207,                0.37907,                 1.0326,             0.00015576,             0.00015576,             0.00015576
                     92,                0.45431,                0.39606,                 1.0627,                0.94587,                0.93847,                0.98404,                0.88844,                0.46072,                0.36067,                 1.0525,             0.00014161,             0.00014161,             0.00014161
                     93,                0.44786,                0.37244,                  1.059,                0.93536,                0.93821,                0.98105,                0.88516,                0.47226,                0.37393,                 1.0489,             0.00012747,             0.00012747,             0.00012747
                     94,                0.42606,                0.36727,                 1.0558,                0.95306,                0.95279,                0.98717,                0.88822,                0.46141,                0.35336,                 1.0368,             0.00011332,             0.00011332,             0.00011332
                     95,                0.43451,                0.36054,                 1.0422,                0.97365,                0.90454,                0.98701,                0.89182,                0.45827,                0.35132,                 1.0366,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.41951,                0.35729,                 1.0398,                0.94034,                0.96145,                0.98666,                0.88983,                0.44737,                0.35461,                 1.0212,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.42934,                0.35054,                   1.05,                  0.931,                0.93832,                0.98085,                0.88706,                0.44501,                0.36981,                 1.0158,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.42408,                0.35864,                 1.0385,                0.92476,                0.95283,                 0.9862,                0.89196,                0.44754,                0.35351,                 1.0182,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.42857,                0.36322,                 1.0438,                0.93405,                0.96033,                0.98658,                0.89338,                 0.4482,                0.35183,                 1.0183,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.41697,                0.34243,                 1.0353,                0.95248,                0.93318,                0.98521,                0.89792,                0.43774,                 0.3565,                 1.0149,             2.8437e-05,             2.8437e-05,             2.8437e-05
