                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.69742,                0.60644,                 1.2329,                0.92407,                0.95976,                0.98224,                0.87665,                0.46592,                0.39929,                0.98349,             0.00050944,             0.00050944,             0.00050944
                     67,                0.68448,                0.59898,                 1.2327,                0.96231,                0.91924,                0.97712,                0.88642,                0.47642,                0.43008,                0.98965,             0.00049529,             0.00049529,             0.00049529
                     68,                0.65397,                0.57606,                 1.2063,                0.94478,                0.93549,                 0.9814,                0.89127,                0.44902,                0.41097,                0.97009,             0.00048114,             0.00048114,             0.00048114
                     69,                0.70439,                0.58633,                 1.2373,                0.97404,                0.93961,                0.98414,                0.88259,                0.45788,                 0.3986,                0.96004,               0.000467,               0.000467,               0.000467
                     70,                0.68605,                0.57651,                 1.2186,                0.94357,                0.89777,                0.98543,                0.89148,                0.44352,                0.42438,                0.96347,             0.00045285,             0.00045285,             0.00045285
                     71,                  0.667,                0.54809,                 1.2081,                0.93879,                0.94374,                0.98525,                0.90012,                0.42594,                0.38029,                0.94851,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67476,                 0.5763,                  1.202,                0.91958,                0.94138,                0.98098,                 0.8902,                0.44366,                0.39755,                0.95912,             0.00042456,             0.00042456,             0.00042456
                     73,                0.66755,                0.56135,                 1.2253,                0.94682,                0.96147,                0.98609,                0.90461,                0.40874,                 0.3824,                 0.9432,             0.00041041,             0.00041041,             0.00041041
                     74,                0.64827,                0.55823,                 1.1946,                0.95734,                0.90087,                0.98154,                0.88476,                0.41452,                0.39827,                0.94617,             0.00039626,             0.00039626,             0.00039626
                     75,                0.65807,                0.55233,                 1.2077,                0.91633,                0.96503,                0.98254,                0.89526,                0.41044,                0.38205,                0.94794,             0.00038211,             0.00038211,             0.00038211
                     76,                0.65435,                0.55506,                 1.2051,                0.92138,                0.96184,                0.98305,                0.89918,                0.40898,                0.39894,                0.94402,             0.00036797,             0.00036797,             0.00036797
                     77,                0.64684,                0.55108,                 1.2028,                0.95401,                0.90585,                0.97927,                0.89894,                0.39269,                0.40496,                0.93743,             0.00035382,             0.00035382,             0.00035382
                     78,                0.63352,                 0.5506,                 1.1916,                0.93902,                0.95188,                0.98366,                0.91049,                0.42406,                0.37151,                0.94317,             0.00033967,             0.00033967,             0.00033967
                     79,                0.67764,                0.57296,                 1.2149,                0.94011,                0.95106,                 0.9825,                0.90434,                0.39073,                0.38343,                0.93003,             0.00032553,             0.00032553,             0.00032553
                     80,                0.66266,                0.53144,                 1.2158,                0.91666,                0.96481,                0.98103,                0.91178,                 0.3784,                0.37001,                0.93061,             0.00031138,             0.00031138,             0.00031138
                     81,                0.63113,                0.53429,                  1.188,                0.91543,                0.96312,                0.98166,                0.91193,                0.38033,                0.37143,                0.92905,             0.00029723,             0.00029723,             0.00029723
                     82,                0.61865,                0.51687,                  1.185,                0.93914,                0.95891,                0.98172,                 0.9046,                  0.392,                0.35729,                0.93986,             0.00028308,             0.00028308,             0.00028308
                     83,                0.63616,                 0.5266,                 1.1964,                0.94074,                0.94342,                0.98022,                0.90884,                0.38634,                0.35905,                0.93568,             0.00026894,             0.00026894,             0.00026894
                     84,                0.63345,                0.52429,                 1.1928,                0.95853,                0.93409,                0.98514,                0.91575,                 0.3887,                0.35082,                0.92632,             0.00025479,             0.00025479,             0.00025479
                     85,                0.61511,                0.51119,                  1.169,                0.92853,                0.96024,                0.98436,                0.90818,                0.39945,                0.35721,                0.93394,             0.00024064,             0.00024064,             0.00024064
                     86,                0.62004,                0.52542,                 1.1745,                0.96515,                0.92276,                 0.9816,                 0.9121,                0.38511,                0.36458,                0.92923,              0.0002265,              0.0002265,              0.0002265
                     87,                0.62148,                0.51913,                 1.1883,                 0.9375,                0.96156,                0.98135,                0.91513,                0.36715,                0.35629,                0.92023,             0.00021235,             0.00021235,             0.00021235
                     88,                0.64021,                0.52558,                 1.1871,                0.93658,                0.93799,                0.98396,                0.91369,                0.37348,                0.36122,                0.92093,              0.0001982,              0.0001982,              0.0001982
                     89,                0.59529,                0.51426,                 1.1653,                0.95204,                0.93839,                 0.9854,                0.90646,                0.38724,                0.35282,                0.92584,             0.00018406,             0.00018406,             0.00018406
                     90,                0.60626,                0.50681,                 1.1829,                0.94693,                0.97145,                0.98727,                0.90862,                0.39318,                0.34261,                0.93082,             0.00016991,             0.00016991,             0.00016991
                     91,                0.42588,                0.44892,                0.98637,                0.94628,                0.96223,                0.98654,                 0.9098,                0.39655,                0.33397,                0.93574,             0.00015576,             0.00015576,             0.00015576
                     92,                0.42676,                0.40185,                0.99265,                0.91493,                0.96242,                0.98289,                0.89891,                0.41294,                0.36599,                0.94445,             0.00014161,             0.00014161,             0.00014161
                     93,                0.41275,                0.36511,                0.96117,                0.93117,                0.96421,                 0.9869,                0.90106,                0.39968,                0.34874,                0.93166,             0.00012747,             0.00012747,             0.00012747
                     94,                0.41497,                0.38429,                0.97834,                0.93884,                0.97127,                0.98693,                0.91267,                0.38141,                0.34489,                0.92692,             0.00011332,             0.00011332,             0.00011332
                     95,                0.40408,                0.37884,                0.96471,                  0.937,                0.96198,                 0.9857,                0.91614,                0.38488,                0.34261,                 0.9227,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.39703,                0.36467,                0.96342,                0.97889,                0.94709,                0.98813,                0.92082,                0.37245,                0.32796,                0.91652,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.40756,                0.36144,                0.96211,                0.93538,                0.96398,                0.98775,                0.91301,                0.38298,                 0.3346,                 0.9201,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.40081,                0.35702,                0.95743,                 0.9384,                0.96354,                0.98552,                0.90815,                0.38294,                0.34348,                0.92395,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.39505,                0.35023,                0.96463,                0.93562,                 0.9663,                0.98432,                0.91499,                0.37222,                0.33394,                0.91703,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.38464,                0.34581,                0.95289,                0.93265,                0.96372,                0.98464,                0.91238,                0.37114,                0.33657,                0.91752,             2.8437e-05,             2.8437e-05,             2.8437e-05
