                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.67717,                0.57966,                 1.1878,                0.91523,                0.94952,                0.97593,                0.89656,                0.43909,                 0.4229,                 0.9439,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69009,                0.61473,                 1.2151,                0.94793,                 0.9395,                0.98554,                0.89445,                0.43469,                0.40742,                 0.9364,             0.00052359,             0.00052359,             0.00052359
                     66,                0.66321,                0.59012,                 1.1907,                0.93143,                0.95285,                0.98031,                0.87872,                 0.4532,                0.40238,                0.94488,             0.00050944,             0.00050944,             0.00050944
                     67,                0.66094,                0.58547,                 1.1916,                0.94763,                0.95162,                0.97963,                0.88976,                0.45472,                0.39873,                0.96558,             0.00049529,             0.00049529,             0.00049529
                     68,                0.64485,                0.56772,                 1.1796,                0.96756,                0.91315,                0.98208,                0.89633,                0.44872,                0.39372,                0.93968,             0.00048114,             0.00048114,             0.00048114
                     69,                0.67572,                0.57709,                 1.1952,                0.92897,                0.93788,                0.98144,                0.88932,                0.44794,                0.41821,                0.92926,               0.000467,               0.000467,               0.000467
                     70,                0.66175,                0.55792,                 1.1728,                0.92197,                 0.9639,                 0.9858,                 0.9017,                0.42101,                0.39055,                0.92496,             0.00045285,             0.00045285,             0.00045285
                     71,                0.64169,                0.53564,                   1.17,                 0.9348,                0.95694,                 0.9846,                0.91386,                0.41127,                0.35866,                0.92937,              0.0004387,              0.0004387,              0.0004387
                     72,                0.65435,                0.55455,                 1.1625,                0.94858,                 0.9429,                0.97929,                0.89139,                 0.4323,                0.39329,                0.93758,             0.00042456,             0.00042456,             0.00042456
                     73,                0.64934,                0.55816,                 1.1863,                0.93763,                0.94147,                0.98414,                0.90169,                0.42877,                0.38801,                 0.9275,             0.00041041,             0.00041041,             0.00041041
                     74,                0.63076,                0.53714,                 1.1627,                0.93145,                0.90656,                0.97804,                0.90304,                0.40833,                0.40396,                 0.9217,             0.00039626,             0.00039626,             0.00039626
                     75,                0.63764,                0.53855,                 1.1738,                0.93244,                0.96091,                0.98343,                 0.8966,                0.41091,                0.36653,                0.92545,             0.00038211,             0.00038211,             0.00038211
                     76,                0.62391,                0.54354,                 1.1635,                 0.9309,                0.94039,                  0.979,                0.90112,                0.41007,                0.40659,                0.92111,             0.00036797,             0.00036797,             0.00036797
                     77,                0.62995,                0.53327,                 1.1563,                0.93627,                0.93056,                0.98288,                0.90722,                0.41899,                0.37522,                0.91749,             0.00035382,             0.00035382,             0.00035382
                     78,                0.62431,                0.53259,                 1.1537,                0.91044,                0.96968,                 0.9874,                0.90503,                0.40997,                0.36104,                0.91318,             0.00033967,             0.00033967,             0.00033967
                     79,                0.65431,                 0.5596,                 1.1676,                0.93416,                0.97305,                0.98467,                  0.904,                0.40419,                0.36724,                0.90879,             0.00032553,             0.00032553,             0.00032553
                     80,                0.64989,                0.53583,                 1.1788,                  0.928,                0.97975,                0.98582,                0.91199,                0.41432,                0.35693,                0.91425,             0.00031138,             0.00031138,             0.00031138
                     81,                0.61447,                0.52157,                 1.1509,                0.95861,                0.94704,                0.98717,                0.91411,                0.38614,                0.34113,                0.90834,             0.00029723,             0.00029723,             0.00029723
                     82,                0.60417,                  0.503,                 1.1447,                0.93603,                0.94602,                0.98363,                0.89814,                0.43186,                0.35874,                0.92533,             0.00028308,             0.00028308,             0.00028308
                     83,                0.61821,                0.52593,                  1.156,                 0.9433,                  0.951,                0.98568,                0.91405,                0.40481,                0.35923,                0.91374,             0.00026894,             0.00026894,             0.00026894
                     84,                0.61714,                0.51437,                   1.15,                0.92096,                0.96234,                0.98497,                0.91074,                0.40591,                0.36047,                0.91763,             0.00025479,             0.00025479,             0.00025479
                     85,                0.60572,                0.50633,                 1.1368,                0.93923,                0.95486,                0.98477,                0.91555,                0.40333,                0.35768,                 0.9082,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.6006,                0.50966,                 1.1519,                0.93307,                0.93749,                0.97687,                0.89842,                0.40495,                0.39278,                0.92298,              0.0002265,              0.0002265,              0.0002265
                     87,                0.60632,                0.51387,                 1.1536,                0.93769,                0.94302,                0.98188,                0.91603,                0.37692,                0.34154,                0.90194,             0.00021235,             0.00021235,             0.00021235
                     88,                0.62194,                0.52267,                  1.149,                0.92678,                0.95388,                0.98175,                0.91628,                0.37602,                0.35812,                0.90146,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.5793,                0.49904,                 1.1397,                0.89951,                0.98935,                0.98643,                0.91606,                0.38478,                0.32787,                0.90007,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.5861,                0.49137,                  1.142,                  0.932,                0.97663,                0.98777,                0.91638,                0.38598,                0.33429,                0.90424,             0.00016991,             0.00016991,             0.00016991
                     91,                0.41325,                0.42209,                0.96035,                0.95603,                0.96697,                 0.9898,                0.91481,                0.38439,                0.32176,                0.90727,             0.00015576,             0.00015576,             0.00015576
                     92,                0.41424,                0.38198,                0.96185,                0.95758,                0.94827,                0.98406,                0.90467,                0.40467,                0.33867,                0.91544,             0.00014161,             0.00014161,             0.00014161
                     93,                0.39951,                0.34789,                0.93368,                0.93971,                0.97046,                0.98572,                 0.9195,                0.39163,                0.33583,                 0.9062,             0.00012747,             0.00012747,             0.00012747
                     94,                0.38868,                0.36122,                0.93958,                0.96244,                0.97143,                0.99092,                0.92449,                0.38341,                0.31106,                0.90258,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.3874,                0.36311,                0.93717,                0.96931,                0.95164,                 0.9886,                0.92426,                0.39032,                0.33275,                0.89874,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.39021,                0.34749,                 0.9377,                0.96889,                0.96707,                0.98829,                0.92657,                0.37364,                0.32151,                  0.891,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.38247,                0.33696,                0.92582,                0.95959,                0.94116,                0.98822,                0.91283,                 0.3838,                0.32188,                0.90066,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.37782,                0.33609,                0.92269,                0.95781,                0.94168,                0.98848,                0.92068,                 0.3736,                0.32108,                 0.8949,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.38075,                0.33359,                0.93612,                0.93657,                0.97233,                0.98774,                0.92109,                0.37108,                 0.3156,                0.88603,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.36725,                0.32535,                0.91997,                0.93796,                0.97012,                0.98791,                0.92211,                0.36421,                0.31163,                0.88635,             2.8437e-05,             2.8437e-05,             2.8437e-05
